lead_id,business_name,city,neighborhood,postal_code,category,assigned_sales_rep,sales_region,market_segment,market_subsegment,assignment_rule,matched_keywords,unassigned_reason,suspicious_reasons
130,Ditin Indústria Têxtil,Araçariguama,Terra Baixa,18147-000,Fabricante,Sueli,,Indústria,indústria têxtil,Indústria - Sueli - Todos os territórios,indústria têxtil|industria textil,,
131,Padron Indústria Têxtil,Santana de Parnaíba,Jardim Leda (Fazendinha),06529-302,Fabricante,Sueli,,Indústria,indústria têxtil,Indústria - Sueli - Todos os territórios,indústria têxtil|industria textil,,
132,Indústria Têxtil Nossa Senhora do Belém LTDA,Itatiba,Bairro da Ponte,13251-800,Fabricante,Sueli,,Indústria,indústria têxtil,Indústria - Sueli - Todos os territórios,indústria têxtil|industria textil,,
133,Boreto & Cardoso Ltda - Produtos Químicos,Santana de Parnaíba,Recanto Silvestre (Fazendinha),06530-245,Fabricante,Sueli,,Indústria,indústria química,Indústria - Sueli - Todos os territórios,produtos químicos,,
134,N M Indústria Têxtil,Cerquilho,Taquaral,18528-614,Fabricante,Sueli,,Indústria,indústria têxtil,Indústria - Sueli - Todos os territórios,indústria têxtil|industria textil,,
136,Indústria Têxtil Tatuí Eireli.,Tatuí,Colina Verde,18271-440,Fabricante,Sueli,,Indústria,indústria têxtil,Indústria - Sueli - Todos os territórios,indústria têxtil|industria textil,,
168,Metalúrgica São Paulo,Santana de Parnaíba,Sítio do Rosário,06514-001,Fabricante,Sueli,,Indústria,indústria metalúrgica,Indústria - Sueli - Todos os territórios,metalúrgica|metalurgica,,
169,Rossini Murta Indústria Metalúrgica,Santana de Parnaíba,Colinas da Anhanguera,06543-306,Fabricante,Sueli,,Indústria,indústria metalúrgica,Indústria - Sueli - Todos os territórios,indústria metalúrgica|industria metalurgica|metalúrgica|metalurgica,,
170,Spiracon Indústria Metalúrgica,Santana de Parnaíba,Chácara do Solar I (Fazendinha),06530-020,Fabricante,Sueli,,Indústria,indústria metalúrgica,Indústria - Sueli - Todos os territórios,indústria metalúrgica|industria metalurgica|metalúrgica|metalurgica,,
174,SN Indústria Metalúrgica,Santana de Parnaíba,Chácara do Solar I (Fazendinha),06530-020,Fabricante,Sueli,,Indústria,indústria metalúrgica,Indústria - Sueli - Todos os territórios,indústria metalúrgica|industria metalurgica|metalúrgica|metalurgica,,
177,METALURGICA MUTINGA,Santana de Parnaíba,Chácara do Solar II (Fazendinha),06531-095,Escritório da empresa,Sueli,,Indústria,indústria metalúrgica,Indústria - Sueli - Todos os territórios,metalúrgica|metalurgica,,
184,Metalpis Metalúrgica Pistão,Santana de Parnaíba,Chácara do Solar I (Fazendinha),06530-005,Fabricante,Sueli,,Indústria,indústria metalúrgica,Indústria - Sueli - Todos os territórios,metalúrgica|metalurgica,,
189,Novakem Indústria Química Ltda.,Santana de Parnaíba,Jardim Leda (Fazendinha),06529-302,Fabricante,Sueli,,Indústria,indústria química,Indústria - Sueli - Todos os territórios,indústria química|industria quimica,,
190,LA TORRE Produtos Químicos Ltda.,Santana de Parnaíba,Jardim Rancho Alegre,06515-205,Atacadista,Sueli,,Indústria,indústria química,Indústria - Sueli - Todos os territórios,produtos químicos,,
191,Revestsul Produtos Químicos,Santana de Parnaíba,Residencial das Estrelas,06429-200,Fabricante,Sueli,,Indústria,indústria química,Indústria - Sueli - Todos os territórios,produtos químicos,,
200,Q-PRÓTONS Indústria química,Santana de Parnaíba,Jardim da Varzea,06530-075,Fabricante,Sueli,,Indústria,indústria química,Indústria - Sueli - Todos os territórios,indústria química|industria quimica,,
