lead_id,business_name,city,neighborhood,postal_code,category,assigned_sales_rep,sales_region,market_segment,market_subsegment,assignment_rule,matched_keywords,unassigned_reason,suspicious_reasons
94,Quiteria Mármores ltda,Santana de Parnaíba,aldeia da harmonia,06524-315,Fabricante,,,Varejo,marmorarias,,mármore,no_sales_region_matched,broad_keyword:marmore
99,Hebrom marmores e granitos,Santana de Parnaíba,Campo da Vila,06501-235,Fabricante,,,Varejo,marmorarias,,mármore|granito,no_sales_region_matched,broad_keyword:granito|marmore
100,Guaturinho Mármores e Granitos,Santana de Parnaíba,Jardim para (Fazendinha),06530-461,Fabricante,,,Varejo,marmorarias,,marmoraria|mármore|granito,no_sales_region_matched,broad_keyword:granito|marmore
101,Mcc Mármores e Granitos,Santana de Parnaíba,Chácara do Solar I (Fazendinha),06530-001,Fabricante,,,Varejo,marmorarias,,mármore|granito,no_sales_region_matched,broad_keyword:granito|marmore
103,Ornato Mármores & Granito,Santana de Parnaíba,Jardim Santa Marta (Fazendinha),06529-200,Fabricante,,,Varejo,marmorarias,,mármore|granito,no_sales_region_matched,broad_keyword:granito|marmore
201,Refrigeração Frio Primos,Santana de Parnaíba,Fazendinha,06529-010,Serviços,,,Varejo,refrigeração,,refrigeração,no_sales_region_matched,broad_keyword:refrigeracao|single_keyword_broad_subsegment
202,BEAR Assistência Técnica Refrigeração,Santana de Parnaíba,Cristal Park,06505-040,Serviços,,,Varejo,refrigeração,,refrigeração,no_sales_region_matched,broad_keyword:refrigeracao|single_keyword_broad_subsegment
203,Solucionar Assistência Técnica Especializada em Refrigeração e Lavadoras,Santana de Parnaíba,Fazendinha,06530-005,Serviços,,,Varejo,refrigeração,,refrigeração,no_sales_region_matched,broad_keyword:refrigeracao|single_keyword_broad_subsegment
204,Refrigeracao Cristal Park,Santana de Parnaíba,Cristal Park,06505-025,Consultoria,,,Varejo,refrigeração,,refrigeração,no_sales_region_matched,broad_keyword:refrigeracao|single_keyword_broad_subsegment
205,JR.soluções em refrigeração,Santana de Parnaíba,Cidade São Pedro - Gleba A,06535-201,Serviços,,,Varejo,refrigeração,,refrigeração,no_sales_region_matched,broad_keyword:refrigeracao|single_keyword_broad_subsegment
206,RJ Refrigeração Juventino,Santana de Parnaíba,Jardim Isaura,06516-055,Serviços,,,Varejo,refrigeração,,refrigeração,no_sales_region_matched,broad_keyword:refrigeracao|single_keyword_broad_subsegment
207,Refrigeração K.s,Santana de Parnaíba,Chácara do Solar III,06528-100,Ponto de interesse,,,Varejo,refrigeração,,refrigeração,no_sales_region_matched,broad_keyword:refrigeracao|single_keyword_broad_subsegment
208,Refrigeração Santos Peças e Serviços,Barueri,Vila Engenho Novo,06416-150,Serviços,,,Varejo,refrigeração,,refrigeração,no_sales_region_matched,broad_keyword:refrigeracao|single_keyword_broad_subsegment
209,Rh Ar Condicionado e Refrigeração,Santana de Parnaíba,Jardim Professor Benoa,06502-025,Serviços,,,Varejo,refrigeração,,refrigeração|ar condicionado,no_sales_region_matched,broad_keyword:ar condicionado|refrigeracao
211,HC FRIMAQ / REFRIGERAÇÃO E CLIMATIZAÇÃO,Santana de Parnaíba,Parque Santana II,06515-070,Serviços,,,Varejo,refrigeração,,refrigeração|climatização,no_sales_region_matched,broad_keyword:climatizacao|refrigeracao
212,Refricor comércio é serviço de refrigeração,Barueri,Jardim California,06409-000,Serviços,,,Varejo,refrigeração,,refrigeração,no_sales_region_matched,broad_keyword:refrigeracao|single_keyword_broad_subsegment
214,Timer frio Ar- condicionado,Santana de Parnaíba,Jardim Sao Luis,06502-335,Empreiteira,,,Varejo,refrigeração,,ar condicionado,no_sales_region_matched,broad_keyword:ar condicionado|single_keyword_broad_subsegment
215,Refrigeração Cruz,Pirapora do Bom Jesus,Parque Payol I e II,06550-000,Loja de artigos domésticos,,,Varejo,refrigeração,,refrigeração,no_sales_region_matched,broad_keyword:refrigeracao|single_keyword_broad_subsegment
216,CSV REFRIGERAÇÃO INDUSTRIAL,Barueri,Vila Morellato,06408-080,Fabricante,,,Varejo,refrigeração,,refrigeração,no_sales_region_matched,broad_keyword:refrigeracao|single_keyword_broad_subsegment
218,JN Refrigeração,Santana de Parnaíba,Vila Engenho Novo,06416-070,Ponto de interesse,,,Varejo,refrigeração,,refrigeração,no_sales_region_matched,broad_keyword:refrigeracao|single_keyword_broad_subsegment
223,Academia do Marketplace | Cursos e Consultoria para E-Commerce (Loja Virtual e Marketplace),Santana de Parnaíba,Jardim Sao Luis,06502-210,Instituição educacional,,,E-commerce,marketplace / loja virtual,,marketplace|loja virtual|e-commerce,no_sales_region_matched,broad_keyword:e commerce|loja virtual|marketplace
