lead_id,business_name,city,neighborhood,postal_code,category,assigned_sales_rep,sales_region,market_segment,market_subsegment,assignment_rule,matched_keywords,unassigned_reason,suspicious_reasons
1,Durazzo Materiais,Santana de Parnaíba,Jardim Sao Luis,06502-210,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,no_sales_region_matched,
2,Novos e Usados Materiais para Construção,Santana de Parnaíba,Jardim Parnaiba,06501-210,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,no_sales_region_matched,
3,Depósito Sousa,Santana de Parnaíba,Jardim Guilherme,06528-330,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,no_sales_region_matched,
4,DEPOSITO SANTANA,Santana de Parnaíba,Jardim Parnaiba,06501-210,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,no_sales_region_matched,
5,Depósito Expansão,Santana de Parnaíba,Recanto Maravilha III,06523-140,Mercado,,,,,,,no_sales_region_matched,
6,PIMAT - Pimentel Distribuidor de Materiais para Construção,Santana de Parnaíba,Chácara Estela,06513-100,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,no_sales_region_matched,
7,Miguel Materiais para Construção - Santana de Parnaíba,Santana de Parnaíba,Parque Santana,06515-085,,,,,,,,no_sales_region_matched,
8,Depósito Vieira,Santana de Parnaíba,Chácara das Garcas,06526-010,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,no_sales_region_matched,
9,"Mané Elétrica, Hidráulica e Ferramentas e variedades",Santana de Parnaíba,Jardim Sao Luis,06502-210,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,no_sales_region_matched,
10,DEPOSITO RESOLVE E FERRAGENS,Santana de Parnaíba,Jardim Sao Luis,06502-210,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,no_sales_region_matched,
11,Casa Forte Artefatos e Materiais para construção | Blocos de concreto,Santana de Parnaíba,Vila Poupanca,06525-001,,,,,,,,no_sales_region_matched,
12,Depósito ZEPPE - Materiais para Construção,Santana de Parnaíba,Jardim Professor Benoa,06502-001,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,no_sales_region_matched,
13,O Atacadão da Construção,Santana de Parnaíba,Vila Poupanca,06530-001,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,no_sales_region_matched,
14,4k materiais de construção,Santana de Parnaíba,Chácara Maria Mercedes,06502-090,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,no_sales_region_matched,
15,Comercial Ingaí Materiais de Construção,Santana de Parnaíba,Quintas de Maria Elvira,65190-085,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,no_sales_region_matched,
16,Remat Comércio de Materiais para Construção,Santana de Parnaíba,Vila Poupanca,06530-001,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,no_sales_region_matched,
17,EMPÓRIO MEGA DA CONSTRUÇÃO,Santana de Parnaíba,REFÚGIO DOS BANDEIRANTES,06506-010,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,no_sales_region_matched,
18,K.S. Materiais para construção,Santana de Parnaíba,Cristal Park,06505-085,Depósito,,,,,,,no_sales_region_matched,
19,Solução - Depósito da Construção,Barueri,Residencial das Estrelas,06429-120,Loja de materiais de construção,,,Varejo,materiais de construção,,materiais de construção,no_sales_region_matched,
